,0
1292,12514077
1293,261646599
1294,12060460
1295,6402323
1296,18603159
1297,261146031
1298,15584067
1299,18839250
1300,16680063
1301,19635246
1302,12199811
1303,13379761
1304,16963079
1305,342872381
1306,9201151
1307,149771847
1308,333007001
1309,12008485
1310,12183081
1311,11625541
1312,341484544
1313,14977712
1314,16547321
1315,398050406
1316,15142306
1317,15816965
1318,12328009
1319,9861211
1320,18929471
1321,21681338
1322,20962364
1323,259898516
1324,23127311
1325,16869817
1326,146032366
1327,11612228
1328,14088806
1329,261033569
1330,18364579
1331,8862559
1332,17131392
1333,337362374
1334,10056258
1335,13848622
1336,14731120
1337,153306515
1338,13046986
1339,342831678
1340,16321332
1341,18990812
1342,259521292
1343,11760792
1344,14551362
1345,14110152
1346,20717658
1347,18466548
1348,8671728
1349,14823069
1350,15077865
1351,344782415
1352,16600130
1353,13979148
1354,10343247
1355,336921152
1356,7824282
1357,6872583
1358,11318106
1359,338789834
1360,397346949
1361,146870322
1362,11726190
1363,12679737
1364,21197363
1365,12648902
1366,13756631
1367,7927885
1368,13091368
1369,13599376
1370,14709366
1371,13621870
1372,18945735
1373,147857916
1374,21296530
1375,8909717
1376,17950349
1377,15632445
1378,14411163
1379,12771202
1380,14374265
1381,9218499
1382,145904119
1383,15681622
1384,20033078
1385,14886599
1386,18045065
1387,7082077
1388,15067714
1389,19466191
1390,20003178
1391,337217423
1392,8794327
1393,9080356
1394,15373595
1395,15806658
1396,154612442
1397,339604825
1398,8280710
1399,12961064
1400,341645785
1401,17255596
1402,21117117
1403,16518893
1404,344357435
1405,15937344
1406,18865921
1407,24189317
1408,10428974
1409,24591170
1410,18169017
1411,13130510
1412,11268657
1413,12357372
1414,16998913
1415,15877406
1416,19574414
1417,13716530
1418,11570537
1419,337954803
1420,18042544
1421,149981101
1422,16384292
1423,252760832
1424,17510572
1425,8824166
1426,9333308
1427,12919566
1428,19851687
1429,259793112
1430,21781505
1431,16761074
1432,14723317
1433,259446050
1434,11885966
1435,9972805
1436,258018322
1437,8930678
1438,16513383
1439,18009715
1440,7070897
1441,14153020
1442,339891343
1443,9223851
1444,15050805
1445,7693267
1446,14376500
1447,339190542
1448,346056647
1449,19574859
1450,343562700
1451,20342826
1452,14271728
1453,14567270
1454,264292141
1455,13831930
1456,10915418
1457,342043821
1458,16306438
1459,16961245
1460,10019568
1461,16270673
1462,340700765
1463,254336386
1464,342819394
1465,341462165
1466,18424612
1467,11952389
1468,7371798
1469,13251501
1470,13191722
1471,15449069
1472,338512838
1473,152616679
1474,9914603
1475,148268755
1476,19686650
1477,263622460
1478,7738859
1479,16815846
1480,21716406
1481,17583318
1482,17369310
1483,17259604
1484,14442343
1485,19901558
1486,17987593
1487,11336313
1488,9216269
1489,392691103
1490,142445889
1491,339559951
1492,14849565
1493,14079463
1494,11589656
1495,17071738
1496,12780130
1497,9990194
1498,16490453
1499,392945491
1500,16471600
1501,11128456
1502,23687024
1503,150480072
1504,264773297
1505,19509817
1506,15375335
1507,13202775
1508,17369934
1509,257261865
1510,154112623
1511,152618374
1512,17343271
1513,14964510
1514,10549811
1515,259256927
1516,13131641
1517,154400605
1518,12343080
1519,16929581
1520,14404919
1521,18265915
1522,149921940
1523,14627614
1524,13358571
1525,260049606
1526,13894464
1527,7896544
1528,20543664
1529,15529390
1530,20106491
1531,17461009
1532,21566991
1533,19792815
1534,13246314
1535,18519893
1536,20144828
1537,14889319
1538,21596092
1539,25782544
1540,20876911
1541,14524004
1542,17751990
1543,14881232
1544,17419094
1545,13803745
1546,21310513
1547,345934737
1548,27437889
1549,11492987
1550,13481750
1551,14437358
1552,259460095
1553,19126900
1554,252494586
1555,9906030
1556,14552920
1557,13887131
1558,13529231
1559,15425777
1560,19968906
1561,7978278
1562,11623365
1563,23664917
1564,23993641
1565,147811169
1566,261638137
1567,17123553
1568,10789472
1569,11071720
1570,13817617
1571,15013503
1572,16662662
1573,390789458
1574,17969348
1575,14485432
1576,16497014
1577,15238094
1578,14736143
1579,17813931
1580,8278901
1581,14428819
1582,17880201
1583,10403286
1584,7410832
1585,21332922
1586,13006724
1587,19657807
1588,17401162
1589,7176511
1590,11659810
1591,16564000
1592,260722853
1593,16498349
1594,16528275
1595,16647247
1596,8110352
1597,6248658
1598,148939616
1599,15294081
1600,149912941
1601,8435444
1602,25821512
1603,20874140
1604,10110265
1605,20122792
1606,12548806
1607,10978210
1608,259548179
1609,252980917
1610,346516127
1611,402544360
1612,4781451
1613,18486796
1614,13396117
1615,11218574
1616,7974185
1617,16694643
1618,9431494
1619,20816392
1620,17184357
1621,9413759
1622,17467578
1623,11410630
1624,260628087
1625,8963618
1626,16392968
1627,15939880
1628,18554159
1629,16659649
1630,10673533
1631,17856495
1632,13000240
1633,17619984
1634,11803618
1635,14096591
1636,5928406
1637,18185600
1638,8555645
1639,8511147
1640,19856230
1641,264007891
1642,151503925
1643,9717763
1644,13529699
1645,13073779
1646,12958732
1647,9185711
1648,17201479
1649,343630572
1650,257609234
1651,345755187
1652,333854159
1653,10387067
1654,17880597
1655,17203074
1656,22938071
1657,15274665
1658,9329508
1659,9146083
1660,17604867
1661,22102956
1662,18568300
1663,9254758
1664,9662771
1665,14126684
1666,17487034
1667,17054237
1668,9959963
1669,12105287
1670,15564703
1671,17962023
1672,12144559
1673,12165801
1674,8231013
1675,340688531
1676,337746740
1677,17425504
1678,15763001
1679,18054722
1680,11879404
1681,15002020
1682,12555192
1683,15590152
1684,13768722
1685,18539208
1686,19898521
1687,263867508
1688,263133517
1689,16817725
1690,6096706
1691,13798100
1692,263359939
1693,10706865
1694,15062060
1695,17296900
1696,145874856
1697,19824341
1698,13206434
1699,9776015
1700,154136994
1701,342784590
1702,11111624
1703,10550309
1704,263871325
1705,11649200
1706,16191695
1707,13054364
1708,344075167
1709,346306928
1710,13547633
1711,145087455
1712,8655743
1713,9277684
1714,15099285
1715,20633713
1716,10665421
1717,148723591
1718,12384809
1719,24749203
1720,258003394
1721,12932536
1722,336883699
1723,10107807
1724,24392691
1725,18528636
1726,259532210
1727,9448782
1728,6716617
1729,146851308
1730,340394450
1731,9071973
1732,24860462
1733,18627335
1734,18812242
1735,15914464
1736,10199849
1737,12790863
1738,16829684
1739,17002622
1740,344065435
1741,15840127
1742,21868354
1743,17117424
1744,17924894
1745,23044512
1746,256895027
1747,13862911
1748,12395737
1749,10531815
1750,256099432
1751,10558390
1752,13183712
1753,19200849
1754,14475361
1755,14995745
1756,18600653
1757,342010903
1758,398396642
1759,13272010
1760,14536896
1761,24253629
1762,20886732
1763,14927392
1764,261755927
1765,148740884
1766,13437247
1767,17517160
1768,340455978
1769,14509601
1770,257854610
1771,402301498
1772,17289352
1773,9693157
1774,16074754
1775,155259956
1776,10520796
1777,11267293
1778,259312704
1779,11675443
1780,15939530
1781,342776353
1782,258723180
1783,263851397
1784,15434957
1785,17323739
1786,12743937
1787,11884908
1788,17318260
1789,8673826
1790,21890226
1791,9059209
1792,18015154
1793,12724660
1794,259608663
1795,14285353
1796,11296503
1797,21666580
1798,260254833
1799,8267625
1800,259127286
1801,16778718
1802,13688905
1803,11007222
1804,16280076
1805,10102041
1806,19292191
1807,14124340
1808,10135572
1809,15456695
1810,12887269
1811,14512804
1812,17507643
1813,10522522
1814,340524435
1815,16538333
1816,10734417
1817,2879552
1818,7393918
1819,22050529
1820,16963547
1821,13404482
1822,12339179
1823,343049419
1824,337185676
1825,260065017
1826,8280085
1827,9679547
1828,23922639
1829,13594608
1830,9446325
1831,22248924
1832,11457143
1833,11822615
1834,21690330
1835,339802536
1836,21552081
1837,9629389
1838,14475769
1839,16067046
1840,18087203
1841,13776176
1842,14956873
1843,339132564
1844,5662846
1845,264582744
1846,13329116
1847,12023068
1848,22899379
1849,11307828
1850,20144236
1851,9610389
1852,260414135
1853,21008296
1854,260298673
1855,11375453
1856,13505245
1857,11694715
1858,10571964
1859,16756321
1860,14687639
1861,341165418
1862,18162846
1863,20017244
1864,19516835
1865,14602580
1866,15089635
1867,14850963
1868,21295968
1869,150428438
1870,15671633
1871,336765859
1872,22676857
1873,7752672
1874,14242661
1875,20468237
1876,7500646
1877,151126728
1878,21636235
1879,20122276
1880,13180407
1881,10041843
1882,12943891
1883,19490095
1884,8599416
1885,7661885
1886,257843640
1887,256335408
1888,15855341
1889,19613947
1890,15688805
1891,18973694
1892,343615784
1893,261947628
1894,14820510
1895,17344247
1896,12345456
1897,20906890
1898,262367741
1899,13166163
1900,264379828
1901,347338096
1902,13361822
1903,13240170
1904,12828366
1905,340225103
1906,12748883
1907,151482983
1908,260852542
1909,341258029
1910,11070946
1911,20405647
1912,255245040
1913,19851797
1914,10853379
1915,20021952
1916,10711372
1917,16784216
1918,20194208
1919,146240929
1920,15635445
1921,16171782
1922,13491483
1923,12127842
1924,9321776
1925,12540122
1926,149234339
1927,15378453
1928,10949344
1929,15344858
1930,11702503
1931,151997854
1932,11177271
1933,14253996
1934,18918919
1935,18845956
1936,341683551
1937,263509351
1938,343624086
1939,14339240
1940,261101313
1941,13210512
1942,14947520
1943,339141379
1944,15366846
1945,15323838
1946,16548828
1947,12132637
1948,18478808
1949,14909686
1950,17294068
1951,148267344
1952,338700692
1953,148101261
1954,17869253
1955,12367019
1956,15229932
1957,18316096
1958,10321476
1959,11566481
1960,262728507
1961,334924967
1962,335467066
1963,12045048
1964,22833206
1965,6156827
1966,16237439
1967,17742271
1968,8338548
1969,10625947
1970,22730121
1971,15902685
1972,10549555
1973,6050899
1974,10924161
1975,14411915
1976,9712846
1977,12189972
1978,14213420
1979,16796887
1980,16447963
1981,17228764
1982,18380891
1983,9980785
1984,16062295
1985,19298266
1986,17110218
1987,17421791
1988,10478355
1989,13915742
1990,340309663
1991,12621127
1992,14207858
1993,260259951
1994,395661305
1995,339000679
1996,258954433
1997,18979896
1998,20200754
1999,259500191
2000,11780076
2001,147068777
2002,18934586
2003,16836216
2004,15625341
2005,19235286
2006,150136795
2007,14128734
2008,13324056
2009,20231994
2010,260981031
2011,10889228
2012,13323439
2013,19941160
2014,151711065
2015,12418565
2016,26413638
2017,261559966
2018,257230240
2019,258250171
2020,148607559
2021,12184330
2022,15166848
2023,14049215
2024,12934786
2025,11767218
2026,10797143
2027,22805839
2028,23701229
2029,22741478
2030,259366643
2031,13763254
2032,152375955
2033,340297663
2034,150686575
2035,348841682
2036,14639131
2037,15536196
2038,14613436
2039,8099988
2040,342479147
2041,336120031
2042,9352408
2043,12032726
2044,10776617
2045,21203696
2046,13704613
2047,17412712
2048,14057385
2049,22702823
2050,13206832
2051,14936802
2052,9571999
2053,17265492
2054,149199030
2055,14356732
2056,6390641
2057,13758072
2058,14126040
2059,254352782
2060,341677118
2061,17061594
2062,10879808
2063,15034608
2064,12832144
2065,14710994
2066,12302072
