,0
1034,10415406
1035,10642460
1036,10754803
1037,10927553
1038,10452583
1039,10697964
1040,10702641
1041,10869508
1042,10513325
1043,10681880
1044,10531063
1045,10630888
1046,10742070
1047,10614926
1048,10777085
1049,10590281
1050,10583351
1051,10751566
1052,10703195
1053,10461776
1054,10771486
1055,10493220
1056,10725559
1057,10679969
1058,10390188
1059,10629477
1060,10483477
1061,10804669
1062,10708931
1063,10791561
1064,10648014
1065,10836517
1066,10734634
1067,10704293
1068,10600904
1069,10560451
1070,10840470
1071,10720108
1072,10819406
1073,10817008
1074,10755677
1075,10697251
1076,10697785
1077,10563835
1078,10314336
1079,10482421
1080,10513041
1081,10984397
1082,10716875
1083,10675733
1084,10680786
1085,10741875
1086,10637465
1087,10675750
1088,10925109
1089,10776100
1090,10795847
1091,10741551
1092,10581590
1093,10693974
1094,10748926
1095,10661833
1096,10838814
1097,10889991
1098,10638264
1099,10506771
1100,10768829
1101,10642175
1102,10660745
1103,10490532
1104,10432742
1105,10836266
1106,10587068
1107,10633624
1108,10657572
1109,10709776
1110,10611399
1111,10780388
1112,10672653
1113,10565386
1114,10682067
1115,10937417
1116,10755442
1117,10680279
1118,10706894
1119,10937154
1120,10851599
1121,10816054
1122,10731337
1123,10770286
1124,10600194
1125,10615049
1126,10853318
1127,10686262
1128,10655583
1129,10609675
1130,10603267
1131,10612804
1132,10512036
1133,10471680
1134,10649152
1135,10700870
1136,10780651
1137,10673755
1138,10650020
1139,10619699
1140,10845575
1141,10688812
1142,10450758
1143,10793321
1144,10816221
1145,10656992
1146,10581419
1147,10727631
1148,10714069
1149,10992044
1150,10768837
1151,10446692
1152,10706181
1153,10789429
1154,10568150
1155,10578125
1156,10613429
1157,10648150
1158,10713560
1159,10864208
1160,10612796
1161,10442319
1162,10773789
1163,10780226
1164,10770043
1165,10669365
1166,10613558
1167,10549172
1168,10590549
1169,10950937
1170,10719166
1171,10684815
1172,10714971
1173,10721194
1174,10552941
1175,10722761
1176,10672019
1177,10658857
1178,10648427
1179,10756493
1180,10688353
1181,10456262
1182,10829202
1183,10581446
1184,10709996
1185,10742827
1186,10531178
1187,10646198
1188,10687246
1189,10853636
1190,10690393
1191,10648309
1192,10653001
1193,10408614
1194,10574740
1195,10631227
1196,10602849
1197,10536560
1198,10706498
1199,10686259
1200,10650080
1201,10748472
1202,10637550
1203,10779547
1204,10797807
1205,10408680
1206,10774254
1207,10444138
1208,10971134
1209,10724620
1210,10616531
1211,10578625
1212,10720097
1213,10749028
1214,10691155
1215,10700049
1216,10635103
1217,10714350
1218,10747115
1219,10735650
1220,10668261
1221,10706119
1222,10693265
1223,10692773
1224,10635122
1225,10654105
1226,10687496
1227,10520612
1228,10741973
1229,10763381
1230,10498713
1231,10646923
1232,10872692
1233,10702217
1234,10562060
1235,10504792
1236,10723598
1237,10780924
1238,10525204
1239,10545577
1240,10719756
1241,10650255
1242,10580796
1243,10792610
1244,10626416
1245,10750077
1246,10664324
1247,10949165
1248,10589044
1249,10513298
1250,10537550
1251,10704797
1252,10662025
1253,10540936
1254,10705587
1255,10841048
1256,10724502
1257,10817423
1258,10641873
1259,10659217
1260,10417193
1261,10550833
1262,10568148
1263,10629029
1264,10519317
1265,10782072
1266,10820143
1267,10643694
1268,10647002
1269,10566159
1270,10774043
1271,10716761
1272,10771450
1273,10715700
1274,10667733
1275,10846034
1276,10825968
1277,10800814
1278,10806228
1279,10864025
1280,10777073
1281,10640041
1282,10579732
1283,10634025
1284,10419645
1285,10625469
1286,10580745
1287,10706359
1288,10718504
1289,10649578
1290,10758479
1291,10664284
1292,10772615
1293,10723635
1294,10687773
1295,10901066
1296,10579558
1297,10689093
1298,10686491
1299,10618145
1300,10668422
1301,10719273
1302,10744718
1303,10705635
1304,10622023
1305,10564636
1306,10842922
1307,10498641
1308,10639856
1309,10715144
1310,10596216
1311,10685492
1312,10767730
1313,10721536
1314,10755317
1315,10767896
1316,10554178
1317,10791811
1318,10787277
1319,10669480
1320,10669709
1321,10815175
1322,10563725
1323,10630474
1324,10786490
1325,10710154
1326,10649129
1327,10642316
1328,10589163
1329,10524558
1330,10793120
1331,10760094
1332,10762964
1333,10728621
1334,10920446
1335,10761986
1336,10726558
1337,10724251
1338,10661094
1339,10509569
1340,10782368
1341,10871427
1342,10858484
1343,10511626
1344,11041588
1345,10771129
1346,10641174
1347,10467472
1348,10758302
1349,10454493
1350,10785081
1351,10868707
1352,10786836
1353,10582759
1354,10687051
1355,10560209
1356,10691516
1357,10707413
1358,10462051
1359,10583782
1360,10541404
1361,10558992
1362,10738345
1363,10613390
1364,10546525
1365,10617775
1366,10625746
1367,10683159
1368,10595960
1369,10781926
1370,10674543
1371,10705303
1372,10625873
1373,10734122
1374,10655254
1375,10762819
1376,10678523
1377,10786152
1378,10578244
1379,10742045
1380,10684789
1381,10588520
1382,10683306
1383,10676873
1384,10911988
1385,10879932
1386,10618204
1387,10619034
1388,10763915
1389,10558599
1390,10784472
1391,10600620
1392,10737002
1393,10731535
1394,10643666
1395,10518959
1396,10588675
1397,10432024
1398,10585936
1399,10569862
1400,10723126
1401,10644179
1402,10589368
1403,10588401
1404,10535097
1405,10779269
1406,10950371
1407,10677980
1408,11012796
1409,10423912
1410,10586729
1411,10661047
1412,10488440
1413,10574737
1414,10769693
1415,10546731
1416,10485836
1417,10807006
1418,10746902
1419,10720212
1420,10845061
1421,10854703
1422,10717916
1423,10603839
1424,10837566
1425,10638854
1426,10511001
1427,10726986
1428,10810501
1429,10705373
1430,10688648
1431,10808446
1432,10637705
1433,10895438
1434,10387430
1435,10606482
1436,10617736
1437,10562605
1438,10748441
1439,10771053
1440,10556253
1441,10821904
1442,10716720
1443,10762173
1444,10806177
1445,10738869
1446,10655188
1447,10746322
1448,10709091
1449,10735800
1450,10713736
1451,10584778
1452,10519517
1453,10716205
1454,10689019
1455,10697351
1456,10642477
1457,10659942
1458,10709505
1459,10446460
1460,10588150
